Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0.00
D,2,Cédric,3.9,3.9,Arsenal,1,0.05,2,0.07,2,0.12,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,0,0.00,1,0.04,2,0.07,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,38,1.77,32,1.63,30,1.95,0.00
D,5,Gabriel,4.7,4.7,Arsenal,78,2.43,77,2.79,74,4.03,0.13
M,6,Havertz,7.1,7.1,Arsenal,50,2.48,45,2.52,46,3.48,0.00
D,7,Holding,4.4,4.4,Crystal Palace,6,0.23,6,0.16,7,0.23,0.00
F,8,G.Jesus,8.0,8.0,Arsenal,83,3.55,77,3.72,76,5.01,0.00
M,9,Jorginho,5.4,5.4,Arsenal,17,0.63,19,0.72,19,0.81,0.00
D,10,Kiwior,4.4,4.4,Arsenal,12,0.36,16,0.58,18,0.89,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,7.7,7.7,Arsenal,43,2.07,71,3.74,69,5.05,0.00
F,13,Nketiah,5.5,5.5,Arsenal,32,1.67,21,1.27,20,1.55,0.00
M,14,Ødegaard,8.5,8.5,Arsenal,90,4.21,85,4.41,84,6.07,0.02
M,15,Thomas,4.8,4.8,Arsenal,0,0.00,8,0.29,27,1.13,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,4.9,4.9,Arsenal,14,0.52,15,0.60,17,0.81,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0.00
M,19,Saka,8.6,8.6,Arsenal,56,2.69,84,4.38,82,6.16,0.76
D,20,Saliba,5.2,5.2,Arsenal,91,2.66,87,2.93,84,4.30,0.21
M,21,Sambi,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,0.00
M,22,Smith Rowe,5.3,5.3,Arsenal,8,0.48,5,0.33,7,0.53,0.00
D,23,Tavares,4.0,4.0,Nott'm Forest,17,0.65,26,1.33,29,0.69,0.00
D,24,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,36,1.32,38,1.60,37,2.17,0.00
M,26,Trossard,6.6,6.6,Arsenal,45,2.24,32,1.84,33,2.50,0.00
D,27,Trusty,3.9,3.9,Sheffield Utd,40,1.06,32,0.74,35,0.53,0.00
G,28,Turner,4.0,4.0,Nott'm Forest,63,2.31,47,1.99,33,1.06,0.89
D,29,White,5.5,5.5,Arsenal,87,2.73,83,3.03,80,4.40,0.00
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0,0.00,0,0.00,0.00
D,31,Zinchenko,4.9,4.9,Arsenal,77,2.79,74,3.17,72,4.55,0.00
D,32,Alex Moreno,5.0,5.0,Aston Villa,15,0.71,65,3.04,61,3.86,0.00
F,33,Archer,4.5,4.5,Sheffield Utd,77,3.17,76,3.29,71,2.52,0.61
M,34,Bailey,5.5,5.5,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,35,Buendia,5.8,5.8,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
D,36,Cash,4.9,4.9,Aston Villa,87,3.64,82,3.43,81,4.63,0.12
D,37,Chambers,3.9,3.9,Aston Villa,5,0.15,5,0.15,6,0.24,0.00
M,38,Coutinho,5.8,5.8,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
F,39,Davis,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,40,Dendoncker,4.9,4.9,Aston Villa,17,0.68,15,0.66,17,0.81,0.00
D,41,Diego Carlos,4.4,4.4,Aston Villa,29,1.16,28,1.12,30,1.56,0.00
D,42,Digne,4.6,4.6,Aston Villa,68,2.95,28,1.25,33,1.92,0.00
M,43,Douglas Luiz,5.4,5.4,Aston Villa,83,3.58,65,3.08,67,3.71,0.00
F,44,Duran,5.0,5.0,Aston Villa,14,0.91,13,0.92,14,1.09,0.00
D,45,Hause,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,46,Iroegbunam,4.4,4.4,Aston Villa,0,0.00,0,0.00,1,0.09,0.00
M,47,Kamara,5.0,5.0,Aston Villa,63,1.83,77,2.26,76,2.53,0.00
D,48,Konsa,4.5,4.5,Aston Villa,85,3.12,84,2.98,80,3.99,0.00
G,49,Martinez,4.9,4.9,Aston Villa,93,3.71,93,3.61,92,4.19,0.00
M,50,McGinn,5.5,5.5,Aston Villa,81,2.80,78,2.81,79,3.31,0.00
D,51,Mings,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,52,Nakamba,4.4,4.4,Luton,91,2.02,87,2.05,80,1.78,0.01
G,53,Olsen,4.0,4.0,Aston Villa,2,0.06,2,0.09,3,0.14,0.00
M,54,Philogene,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,55,J.Ramsey,5.9,5.9,Aston Villa,49,2.15,45,2.09,47,2.48,0.00
M,56,Sanson,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
G,57,Sinisalo,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,58,Tielemans,5.7,5.7,Aston Villa,28,1.27,29,1.45,27,1.56,0.00
M,59,Bertrand Traoré,5.0,5.0,Aston Villa,15,0.93,13,0.84,13,0.97,0.00
F,60,Watkins,8.0,8.0,Aston Villa,88,4.76,85,4.93,84,5.60,0.05
F,61,Wesley,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0.00
M,62,Anthony,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,63,Billing,5.3,5.3,Bournemouth,76,2.57,72,2.77,69,2.74,0.00
M,64,Brooks,4.9,4.9,Bournemouth,20,1.08,20,1.22,22,1.35,0.00
M,65,Christie,5.0,5.0,Bournemouth,58,2.34,50,2.33,48,2.33,0.00
M,66,L.Cook,5.0,5.0,Bournemouth,62,1.81,54,1.75,55,1.81,0.00
M,67,Siriki,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
D,68,Fredericks,4.4,4.4,Bournemouth,10,0.34,12,0.43,13,0.53,0.00
D,69,Hill,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
D,70,Kelly,4.5,4.5,Bournemouth,21,0.56,79,2.57,81,2.95,0.00
M,71,Kilkenny,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,72,Kluivert,4.7,4.7,Bournemouth,54,2.48,51,2.81,52,2.93,0.00
M,73,Lowe,4.9,4.9,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
M,74,Marcondes,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
D,75,Mepham,4.3,4.3,Bournemouth,6,0.17,12,0.41,13,0.47,0.00
F,76,Moore,4.7,4.7,Bournemouth,2,0.12,3,0.25,3,0.25,0.00
G,77,Neto,4.5,4.5,Bournemouth,94,3.32,93,3.53,92,3.70,0.00
M,78,O.Dango,4.8,4.8,Bournemouth,22,1.12,22,1.27,22,1.31,0.00
M,79,Pearson,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
G,80,Randolph,4.0,4.0,Bournemouth,0,0.00,0,0.00,1,0.05,0.00
M,81,Rothwell,4.9,4.9,Bournemouth,11,0.52,7,0.40,9,0.48,0.00
F,82,Semenyo,4.5,4.5,Bournemouth,12,0.68,15,0.97,15,0.97,0.00
D,83,Senesi,4.4,4.4,Bournemouth,77,2.10,36,1.30,41,1.62,0.00
D,84,Smith,4.4,4.4,Bournemouth,27,0.85,24,0.88,24,0.96,0.00
F,85,Solanke,6.4,6.4,Bournemouth,88,3.92,83,4.51,84,4.70,0.00
M,86,Tavernier,5.4,5.4,Bournemouth,46,2.07,41,2.17,41,2.22,0.00
M,87,Hamed Traorè,4.8,4.8,Bournemouth,16,0.82,15,0.90,16,0.97,0.00
G,88,Travers,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0.00
D,89,Zabarnyi,4.5,4.5,Bournemouth,91,2.20,86,2.55,84,2.84,0.00
D,90,Ajer,4.5,4.5,Brentford,42,1.08,48,2.07,47,1.24,0.00
G,91,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,92,Baptiste,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0.00
D,93,Bech,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,94,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,95,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0.00
D,96,Collins,4.5,4.5,Brentford,89,1.95,85,3.44,81,1.95,0.00
G,97,Cox,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,98,Damsgaard,4.9,4.9,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,99,Dasilva,4.8,4.8,Brentford,0,0.00,0,0.00,0,0.00,0.00
F,100,Dervişoğlu,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0.00
G,101,Flekken,4.5,4.5,Brentford,94,3.22,93,3.86,93,3.24,0.11
D,102,Goode,4.0,4.0,Brentford,4,0.09,8,0.28,11,0.29,0.00
D,103,Henry,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0.02
D,104,Hickey,4.5,4.5,Brentford,88,2.00,68,2.98,71,1.94,0.00
M,105,Janelt,5.4,5.4,Brentford,78,2.29,75,2.66,74,2.18,0.00
M,106,Jensen,5.4,5.4,Brentford,74,2.56,73,3.16,70,2.43,0.00
M,107,Lewis-Potter,4.8,4.8,Brentford,48,2.17,48,2.81,48,2.13,0.00
M,108,Mbeumo,6.8,6.8,Brentford,86,4.05,83,5.57,81,3.72,0.86
D,109,Mee,4.8,4.8,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,110,Nørgaard,5.5,5.5,Brentford,83,2.29,81,2.67,79,2.15,0.00
M,111,Onyeka,4.9,4.9,Brentford,38,1.40,43,1.76,44,1.53,0.00
D,112,Pinnock,4.5,4.5,Brentford,91,2.17,87,3.75,85,2.18,0.01
G,113,Raya,4.8,4.8,Arsenal,81,3.11,80,3.25,78,3.81,0.00
D,114,Roerslev,4.4,4.4,Brentford,75,2.01,75,3.51,73,2.10,0.00
M,115,Schade,5.4,5.4,Brentford,0,0.00,0,0.00,0,0.00,0.00
G,116,Strakosha,3.9,3.9,Brentford,1,0.05,2,0.08,2,0.07,0.00
F,117,Toney,7.9,7.9,Brentford,0,0.00,0,0.00,0,0.00,0.00
M,118,Trevitt,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0.00
F,119,Wissa,6.0,6.0,Brentford,70,2.77,68,3.45,66,2.55,0.00
M,120,Yarmolyuk,4.4,4.4,Brentford,5,0.25,9,0.52,9,0.44,0.00
D,121,Zanka,4.4,4.4,Brentford,16,0.39,24,1.02,27,0.71,0.00
M,122,Adingra,5.0,5.0,Brighton,19,1.01,20,0.91,22,1.29,0.00
M,123,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,124,Ayari,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,125,Buonanotte,4.8,4.8,Brighton,21,1.10,21,0.95,22,1.28,0.00
M,126,Caicedo,4.8,4.8,Chelsea,59,1.83,78,2.07,75,2.33,0.00
F,127,Connolly,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,128,Dahoud,4.8,4.8,Brighton,57,2.04,43,1.45,38,1.64,0.00
D,129,Dunk,5.0,5.0,Brighton,92,2.25,89,1.32,86,3.58,0.00
M,130,Enciso,5.1,5.1,Brighton,0,0.00,0,0.00,0,0.00,0.00
D,131,Estupiñan,5.3,5.3,Brighton,85,2.48,81,1.50,79,3.83,0.85
F,132,Ferguson,6.0,6.0,Brighton,54,3.18,53,2.46,51,3.28,0.00
M,133,Gilmour,4.9,4.9,Brighton,70,2.28,60,1.78,58,2.15,0.00
M,134,Gross,6.3,6.3,Brighton,7,0.32,60,2.16,78,4.26,0.00
F,135,João Pedro,5.3,5.3,Brighton,45,2.85,43,2.13,42,3.11,0.04
D,136,Karbownik,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,137,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,138,Lallana,4.9,4.9,Brighton,19,0.92,25,1.07,24,1.30,0.00
D,139,Lamptey,3.9,3.9,Brighton,42,1.28,42,0.86,37,1.76,0.00
M,140,March,6.4,6.4,Brighton,67,3.27,64,2.46,63,3.51,0.00
G,141,McGill,3.9,3.9,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,142,Milner,4.8,4.8,Brighton,0,0.00,4,0.17,15,0.73,0.00
M,143,Mitoma,6.6,6.6,Brighton,78,3.47,77,2.74,70,3.77,0.04
M,144,Moder,4.4,4.4,Brighton,3,0.15,2,0.10,2,0.12,0.00
G,145,Sanchez,4.6,4.6,Chelsea,94,3.87,93,3.34,91,3.76,0.01
M,146,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
G,147,Scherpen,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0.00
G,148,Steele,4.4,4.4,Brighton,48,1.69,46,1.58,49,2.04,0.01
F,149,Undav,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0.00
D,150,Van Hecke,4.0,4.0,Brighton,19,0.48,22,0.38,24,1.01,0.00
D,151,Veltman,4.4,4.4,Brighton,60,1.65,49,0.94,48,2.15,0.00
G,152,Verbruggen,4.4,4.4,Brighton,47,1.63,49,1.64,46,1.91,0.00
D,153,Webster,4.4,4.4,Brighton,65,1.63,64,1.03,62,2.62,0.00
F,154,Welbeck,5.8,5.8,Brighton,41,2.43,39,1.85,41,2.63,0.00
F,155,Zeqiri,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0.00
M,156,Agyei,4.4,4.4,Burnley,0,0.00,0,0.00,0,0.00,0.00
D,157,Al-Dakhil,4.0,4.0,Burnley,75,1.81,68,1.78,69,1.97,0.00
M,158,Bastien,4.9,4.9,Burnley,0,0.00,0,0.00,0,0.00,0.00
M,159,Benson,5.3,5.3,Burnley,6,0.32,20,1.06,22,1.19,0.00
D,160,Beyer,4.0,4.0,Burnley,88,1.97,84,2.07,79,2.15,0.13
M,161,Brownhill,4.8,4.8,Burnley,42,1.45,43,1.48,45,1.61,0.00
M,162,Churlinov,4.4,4.4,Burnley,0,0.00,0,0.00,0,0.00,0.00
M,163,Cork,4.8,4.8,Burnley,9,0.31,9,0.32,10,0.35,0.00
M,164,Costelloe,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00,0.00
M,165,Cullen,5.0,5.0,Burnley,88,2.29,86,2.28,84,2.32,0.00
D,166,Egan-Riley,3.9,3.9,Burnley,1,0.04,0,0.00,1,0.05,0.00
D,167,Ekdal,3.9,3.9,Burnley,3,0.07,16,0.43,16,0.47,0.00
F,168,Foster,5.0,5.0,Burnley,66,2.87,63,2.85,62,2.96,0.00
G,169,Franchi,3.9,3.9,Burnley,0,0.00,0,0.00,0,0.00,0.00
M,170,Gudmundsson,4.9,4.9,Burnley,23,1.07,30,1.40,28,1.36,0.00
D,171,McNally,4.0,4.0,Burnley,0,0.00,0,0.00,0,0.00,0.00
G,172,Muric,4.4,4.4,Burnley,2,0.06,3,0.10,4,0.15,0.00
D,173,O'Shea,4.4,4.4,Burnley,28,0.70,29,0.78,34,0.98,0.00
F,174,Obafemi,4.9,4.9,Burnley,0,0.00,0,0.00,0,0.00,0.00
G,175,Peacock-Farrell,4.0,4.0,Burnley,0,0.00,0,0.00,0,0.00,0.00
D,176,Roberts,4.4,4.4,Burnley,87,2.40,83,2.48,82,2.67,0.01
F,177,Rodriguez,5.3,5.3,Burnley,8,0.49,7,0.45,8,0.54,0.00
D,178,Taylor,3.9,3.9,Burnley,84,2.05,81,2.14,78,2.25,0.01
D,179,Thomas,4.0,4.0,Burnley,0,0.00,0,0.00,0,0.00,0.00
M,180,Twine,4.9,4.9,Burnley,0,0.00,0,0.00,0,0.00,0.00
G,181,Vigouroux,4.0,4.0,Burnley,0,0.00,0,0.00,0,0.00,0.00
D,182,Vitinho,4.4,4.4,Burnley,15,0.50,16,0.57,18,0.69,0.00
F,183,Weghorst,5.5,5.5,Burnley,0,0.00,0,0.00,0,0.00,0.00
M,184,Zaroury,4.9,4.9,Burnley,31,1.40,32,1.45,29,1.37,0.00
D,185,Ampadu,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0.00
M,186,Andrey,4.4,4.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,0.00
G,187,Arrizabalaga,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0.00
F,188,Aubameyang,6.5,6.5,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,189,Azpilicueta,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,190,Baba,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0.00
D,191,B.Badiashile,4.4,4.4,Chelsea,11,0.49,47,1.35,56,2.45,0.00
G,192,Bettinelli,4.0,4.0,Chelsea,0,0.00,0,0.00,0,0.00,0.00
F,193,Broja,4.9,4.9,Chelsea,14,0.95,17,0.95,18,1.21,0.00
D,194,Chalobah,4.3,4.3,Chelsea,6,0.28,6,0.15,6,0.23,0.00
D,195,Chilwell,5.5,5.5,Chelsea,0,0.00,0,0.00,0,0.00,0.10
M,196,Chukwuemeka,4.3,4.3,Chelsea,13,0.64,15,0.65,17,0.82,0.00
D,197,Colwill,4.5,4.5,Chelsea,90,3.95,84,2.48,80,3.61,0.07
D,198,Cucurella,4.8,4.8,Chelsea,55,2.63,22,0.77,22,1.03,0.00
